repo,count
pytorch_pytorch,24721
cockroachdb_cockroach,15537
rust-lang_rust,14734
llvm_llvm-project,14398
zephyrproject-rtos_zephyr,11245
kubernetes_kubernetes,9213
openjdk_jdk,9011
grafana_grafana,8225
elastic_elasticsearch,7772
python_cpython,7111
godotengine_godot,6837
apache_spark,5877
nodejs_node,5312
apple_swift,4847
cilium_cilium,4612
vercel_next.js,4483
flutter_flutter,4377
huggingface_transformers,3826
angular_angular,3062
pandas-dev_pandas,3013
istio_istio,2774
systemd_systemd,2360
apache_kafka,2232
openssl_openssl,2209
hashicorp_vault,2128
microsoft_vscode,2087
aspnet_aspnetcore,1814
scikit-learn_scikit-learn,1687
neovim_neovim,1657
rails_rails,1454
containerd_containerd,1347
etcd-io_etcd,1314
microsoft_TypeScript,1210
facebook_react,1195
reactos_reactos,1118
apache_hadoop,1110
facebook_rocksdb,1096
django_django,1019
moby_moby,1006
bazelbuild_bazel,973
ansible_ansible,906
tensorflow_tensorflow,880
golang_go,868
sveltejs_svelte,861
jenkinsci_jenkins,821
prometheus_prometheus,765
hashicorp_terraform,693
saltstack_salt,661
eslint_eslint,580
redis_redis,552
defold_defold,513
fastify_fastify,436
letsencrypt_boulder,434
mariadb_server,423
sigstore_cosign,327
docker_cli,327
freebsd_freebsd,307
prettier_prettier,301
apache_cassandra,299
spring-projects_spring-framework,219
tailwindlabs_tailwindcss,215
pygame_pygame,173
influxdata_influxdb,142
actions_runner,137
coredns_coredns,135
puppetlabs_puppet,132
openframeworks_openFrameworks,115
emberjs_ember.js,91
git_git,86
expressjs_express,74
solidjs_solid,43
facebookresearch_detectron2,38
google_guava,29
fastai_fastai,24
pallets_flask,22
torvalds_linux,20
mongodb_mongo,19
vuejs_vue,8
blender_blender,4
openresty_openresty,2
postgres_postgres,1
openbsd_src,1
