type,pr_number,version,file_path,title_readability_flesch_reading_ease,title_readability_flesch_kincaid_grade,title_sentiment_neg,title_sentiment_neu,title_sentiment_pos,title_sentiment_compound,title_word_count,title_sentence_count,title_unique_words,title_avg_word_length,title_stopword_ratio,body_readability_flesch_reading_ease,body_readability_flesch_kincaid_grade,body_sentiment_neg,body_sentiment_neu,body_sentiment_pos,body_sentiment_compound,body_word_count,body_sentence_count,body_unique_words,body_avg_word_length,body_stopword_ratio,comments_readability_flesch_reading_ease,comments_readability_flesch_kincaid_grade,comments_sentiment_neg,comments_sentiment_neu,comments_sentiment_pos,comments_sentiment_compound,comments_word_count,comments_sentence_count,comments_unique_words,comments_avg_word_length,comments_stopword_ratio,reviews_readability_flesch_reading_ease,reviews_readability_flesch_kincaid_grade,reviews_sentiment_neg,reviews_sentiment_neu,reviews_sentiment_pos,reviews_sentiment_compound,reviews_word_count,reviews_sentence_count,reviews_unique_words,reviews_avg_word_length,reviews_stopword_ratio,review_threads_readability_flesch_reading_ease,review_threads_readability_flesch_kincaid_grade,review_threads_sentiment_neg,review_threads_sentiment_neu,review_threads_sentiment_pos,review_threads_sentiment_compound,review_threads_word_count,review_threads_sentence_count,review_threads_unique_words,review_threads_avg_word_length,review_threads_stopword_ratio,overall_readability_flesch_reading_ease,overall_readability_flesch_kincaid_grade,overall_sentiment_neg,overall_sentiment_neu,overall_sentiment_pos,overall_sentiment_compound,overall_word_count,overall_sentence_count,overall_unique_words,overall_avg_word_length,overall_stopword_ratio
baseline,1,degraded,experiment/prs\1\versions\degraded\degraded_pr.json,89.75,2.5,0.279,0.465,0.256,-0.0516,7,1,7,4.571428571428571,0.2857142857142857,61.26,9.3,0.154,0.722,0.124,-0.5327,153,7,93,4.03921568627451,0.37254901960784315,61.12,7.3,0.141,0.71,0.149,0.3387,191,16,106,4.0732984293193715,0.35602094240837695,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,73.68,6.6,0.032,0.883,0.085,0.5003,65,4,47,4.123076923076923,0.4307692307692308,66.44,7.3,0.148,0.744,0.108,-0.9311,454,25,194,3.883259911894273,0.33259911894273125
baseline,1,improved_degraded,experiment/prs\1\versions\improved_degraded\improved_degraded.json,20.04,12.7,0.207,0.603,0.19,-0.0516,9,1,8,6.666666666666667,0.1111111111111111,27.52,14.0,0.163,0.737,0.1,-0.9113,170,8,106,5.117647058823529,0.27058823529411763,42.48,10.3,0.059,0.729,0.212,0.9814,233,15,131,4.914163090128755,0.351931330472103,41.97,10.5,0.0,0.8,0.2,0.9186,71,6,48,5.098591549295775,0.352112676056338,31.58,12.4,0.0,0.84,0.16,0.8442,64,5,40,5.1875,0.265625,40.35,11.1,0.081,0.78,0.139,0.9691,584,34,243,4.832191780821918,0.2773972602739726
baseline,1,improved_original,experiment/prs\1\versions\improved_original\improved_original_pr.json,42.38,10.3,0.337,0.533,0.13,-0.5423,13,1,12,5.461538461538462,0.15384615384615385,13.14,15.4,0.137,0.796,0.067,-0.9466,284,14,137,5.774647887323944,0.22887323943661972,41.16,10.8,0.103,0.798,0.099,-0.4184,246,16,136,4.878048780487805,0.34552845528455284,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,39.03,11.6,0.077,0.848,0.074,-0.0516,78,5,49,4.769230769230769,0.2948717948717949,31.07,12.6,0.121,0.802,0.077,-0.978,658,34,256,5.072948328267477,0.256838905775076
baseline,1,original,experiment/prs\1\versions\original\original_pr.json,34.93,11.1,0.19,0.635,0.175,-0.0516,11,1,11,5.636363636363637,0.18181818181818182,25.93,16.6,0.084,0.872,0.044,-0.943,483,17,184,4.739130434782608,0.3188405797101449,56.96,8.9,0.076,0.743,0.181,0.9902,395,22,163,4.0050632911392405,0.3949367088607595,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,65.66,9.7,0.039,0.826,0.135,0.8596,141,5,71,3.6808510638297873,0.40425531914893614,42.72,12.3,0.058,0.834,0.108,0.9927,1064,36,326,4.30827067669173,0.3392857142857143
baseline,2,degraded,experiment/prs\2\versions\degraded\degraded_pr.json,67.76,6.8,0.0,0.821,0.179,0.34,13,1,12,4.846153846153846,0.15384615384615385,74.9,6.1,0.018,0.923,0.058,0.9158,430,30,170,3.8232558139534882,0.32558139534883723,67.55,6.9,0.04,0.863,0.097,0.9217,262,18,117,4.301526717557252,0.33969465648854963,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,67.04,7.1,0.021,0.927,0.052,0.9287,721,45,236,4.002773925104022,0.31622746185852985
baseline,2,improved_degraded,experiment/prs\2\versions\improved_degraded\improved_degraded.json,35.95,10.7,0.0,1.0,0.0,0.0,11,1,10,5.363636363636363,0.09090909090909091,14.56,14.8,0.0,0.906,0.094,0.9839,484,22,194,4.878099173553719,0.25206611570247933,38.82,11.7,0.01,0.904,0.086,0.9325,236,13,123,5.122881355932203,0.3855932203389831,18.01,13.5,0.0,0.81,0.19,0.5719,24,2,16,6.083333333333333,0.5,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,22.51,13.8,0.003,0.912,0.085,0.9921,778,38,264,4.888174807197943,0.2879177377892031
baseline,2,improved_original,experiment/prs\2\versions\improved_original\improved_original_pr.json,17.0,13.9,0.0,0.821,0.179,0.34,13,1,12,5.6923076923076925,0.07692307692307693,22.92,13.7,0.01,0.947,0.042,0.8912,518,23,169,4.527027027027027,0.23552123552123552,32.29,12.1,0.026,0.861,0.113,0.9781,457,18,159,5.12253829321663,0.25164113785557984,13.95,15.0,0.0,1.0,0.0,0.0,17,1,13,5.647058823529412,0.4117647058823529,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,23.63,13.4,0.018,0.903,0.079,0.99,1030,41,259,4.796116504854369,0.23398058252427184
baseline,2,original,experiment/prs\2\versions\original\original_pr.json,32.9,11.9,0.0,0.821,0.179,0.34,15,1,13,5.066666666666666,0.13333333333333333,45.25,11.3,0.008,0.947,0.045,0.9782,1140,52,280,4.274561403508772,0.3350877192982456,65.22,7.8,0.026,0.872,0.102,0.9898,634,30,167,4.11198738170347,0.3391167192429022,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,54.93,9.6,0.011,0.926,0.063,0.9963,1808,75,351,4.306969026548672,0.3268805309734513
claude 3.7 sonnet,2,degraded,experiment/prs\2\other_llms\claude 3.7 sonnet\versions\degraded\degraded_pr.json,79.26,4.4,0.0,0.761,0.239,0.296,9,1,9,4.777777777777778,0.2222222222222222,54.22,9.9,0.137,0.775,0.088,-0.8542,210,13,102,4.947619047619048,0.3476190476190476,71.92,5.2,0.091,0.767,0.142,0.9156,220,22,105,3.9727272727272727,0.38181818181818183,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,78.25,4.8,0.06,0.761,0.179,0.7942,63,5,37,3.7142857142857144,0.38095238095238093,60.82,7.4,0.122,0.761,0.117,-0.6561,534,32,188,4.3389513108614235,0.33146067415730335
claude 3.7 sonnet,2,improved_degraded,experiment/prs\2\other_llms\claude 3.7 sonnet\versions\improved_degraded\improved_degraded_pr.json,41.36,10.7,0.0,0.805,0.195,0.4404,14,1,13,5.428571428571429,0.14285714285714285,9.62,18.8,0.004,0.943,0.052,0.9451,442,13,172,5.070135746606335,0.22850678733031674,49.01,9.9,0.015,0.859,0.126,0.9935,533,28,216,4.696060037523452,0.3452157598499062,21.9,14.1,0.0,0.82,0.18,0.8779,69,4,47,5.608695652173913,0.30434782608695654,206.84,-15.7,0.0,0.0,0.0,0.0,0,0,0,0,0,28.23,13.7,0.009,0.892,0.098,0.9971,1070,42,321,4.946728971962616,0.28130841121495326
